Number,Basic,Formula
1,0.000002,0.000002
25,0.008395,0.000001
50,5,0.000001
75,,0.000003
100,,0.000001
125,,0.000001
150,,0.000001
175,,0.000002
200,,0.000001
225,,0.000001
250,,0.000001
275,,0.000001
300,,0.000001
325,,0.000001
350,,0.000001
375,,0.000001
400,,0.000002
425,,0.000001
450,,0.000001
475,,0.000002
500,,0.000001
525,,0.000001
550,,0.000001
575,,0.000001
600,,0.000002
625,,0.000001
650,,0.000001
675,,0.000001
700,,0.000001
725,,0.000001
750,,0.000001
775,,0.000001
800,,0.000001
825,,0.000001
850,,0.000001
875,,0.000002
900,,0.000002
925,,0.000001
950,,0.000001
975,,0.000001
1000,,0.000001
1025,,0.000002
1050,,0.000002
1075,,0.000001
1100,,0.000001
1125,,0.000001
1150,,0.000001
1175,,0.000002
1200,,0.000001
1225,,0.000002
1250,,0.000001
1275,,0.000001
1300,,0.000001
1325,,0.000002
1350,,0.000001
1375,,0.000002
1400,,0.000001
1425,,0.000001
