Number,"Formula (BigDecimal)","Formula (Rationals)"
1,0.000305,0.000095
25,0.031125,0.001795
50,0.115182,0.004011
75,0.227169,0.007211
100,0.437669,0.010854
125,0.718957,0.014832
150,0.879594,0.018841
175,1.273895,0.023863
200,1.691708,0.027033
225,2.225173,0.032089
250,2.811952,0.036823
275,2.765566,0.042778
300,3.472906,0.046721
325,4.130825,0.052693
350,4.960217,0.057451
375,5.954667,0.063384
400,,0.067858
425,,0.074269
450,,0.078837
475,,0.086489
500,,0.089842
525,,0.098377
550,,0.103062
575,,0.11184
600,,0.114263
625,,0.121711
650,,0.127536
675,,0.133739
700,,0.138642
725,,0.147438
750,,0.157298
775,,0.161919
800,,0.163661
825,,0.172056
850,,0.177186
875,,0.187605
900,,0.194426
925,,0.201765
950,,0.207794
975,,0.230856
1000,,0.217753
1025,,0.230208
1050,,0.23402
1075,,0.244048
1100,,0.247854
1125,,0.258469
1150,,0.262893
1175,,0.271274
1200,,0.27458
1225,,0.290013
1250,,0.290204
1275,,0.303266
1300,,0.308488
1325,,0.316624
1350,,0.320131
1375,,0.334063
1400,,0.335408
1425,,0.344714
1450,,0.355525
1475,,0.360867
1500,,0.366145
1525,,0.381044
1550,,0.387001
1575,,0.396026
1600,,0.395609
1625,,0.406205
1650,,0.417545
1675,,0.425888
1700,,0.427741
1725,,0.438496
1750,,0.471026
1775,,0.493309
1800,,0.473796
1825,,0.474844
1850,,0.478744
1875,,0.491393
1900,,0.499236
1925,,0.508407
1950,,0.511925
1975,,0.527513
2000,,0.526675
2025,,0.538307
2050,,0.540386
2075,,0.553428
2100,,0.56101
2125,,0.567074
2150,,0.580458
2175,,0.597088
2200,,0.595421
2225,,0.608676
2250,,0.608474
2275,,0.631708
2300,,0.628497
2325,,0.640071
2350,,0.654723
2375,,0.661458
2400,,0.664
2425,,0.68032
2450,,0.680404
2475,,0.694737
2500,,0.700904
2525,,0.714132
2550,,0.714279
2575,,0.736094
2600,,0.732859
2625,,0.754296
2650,,0.825442
2675,,0.775825
2700,,0.767033
2725,,0.785439
2750,,0.788939
2775,,0.803116
2800,,0.832453
2825,,0.824373
2850,,0.822728
2875,,0.834865
2900,,0.86838
2925,,0.854572
2950,,0.863022
2975,,0.881523
3000,,0.883163
3025,,0.908068
3050,,0.906114
3075,,0.921433
3100,,0.921951
3125,,0.936485
3150,,0.934776
3175,,0.971858
3200,,0.949063
3225,,0.964675
3250,,1.005624
3275,,1.014846
3300,,0.985408
3325,,1.00355
3350,,1.00388
3375,,1.055927
3400,,1.019817
3425,,1.032065
3450,,1.042004
3475,,1.055655
3500,,1.054877
3525,,1.069641
3550,,1.094085
3575,,1.104164
3600,,1.106253
3625,,1.133472
3650,,1.126818
3675,,1.14525
3700,,1.141385
3725,,1.160829
3750,,1.21725
3775,,1.197228
3800,,1.176788
3825,,1.199099
3850,,1.199666
3875,,1.213116
3900,,1.214427
3925,,1.236521
3950,,1.243165
3975,,1.25439
4000,,1.24563
4025,,1.265966
4050,,1.272165
4075,,1.294978
4100,,1.283388
4125,,1.299457
4150,,1.341114
4175,,1.449681
4200,,1.404228
4225,,1.360238
4250,,1.417744
4275,,1.378191
4300,,1.378351
4325,,1.405443
4350,,1.418031
4375,,1.437116
4400,,1.423512
4425,,1.444793
4450,,1.468174
4475,,1.470113
4500,,1.460298
4525,,1.482151
4550,,1.555756
4575,,1.516981
4600,,1.496173
4625,,1.526618
4650,,1.531265
4675,,1.563235
4700,,1.636458
4725,,1.62886
4750,,1.594028
4775,,1.658801
4800,,1.64664
4825,,1.683793
4850,,1.659659
4875,,1.685082
4900,,1.639598
4925,,1.681834
4950,,1.68187
4975,,1.678161
5000,,1.655742
5025,,1.672899
5050,,1.67595
5075,,1.69954
5100,,1.698891
5125,,1.723056
5150,,1.761502
5175,,1.756975
5200,,1.809849
5225,,1.790036
5250,,1.798359
5275,,1.876251
5300,,1.824717
5325,,1.88102
5350,,1.813766
5375,,1.85296
5400,,1.823015
5425,,1.841687
5450,,1.845404
5475,,1.889987
5500,,1.913933
5525,,1.875619
5550,,1.881816
5575,,1.896205
5600,,1.885344
5625,,1.9136
5650,,1.921746
5675,,1.989966
5700,,2.02927
5725,,1.992508
5750,,2.008061
5775,,2.032364
5800,,1.990917
5825,,1.999942
5850,,2.007947
5875,,2.033835
5900,,2.026327
5925,,2.0853
5950,,2.07202
5975,,2.1014
6000,,2.102824
