Number,"Formula (Rationals)","Tail Recursion"
1,0.000094,0.000005
3000,0.886959,0.001154
6000,2.102844,0.001753
9000,5,0.002997
12000,,0.004534
15000,,0.006245
18000,,0.007845
21000,,0.010386
24000,,0.013102
27000,,0.01493
30000,,0.020502
33000,,0.018948
36000,,0.023885
39000,,0.029211
42000,,0.032343
45000,,0.031999
48000,,0.035363
51000,,0.038332
54000,,0.04338
57000,,0.048393
60000,,0.052912
63000,,0.072976
66000,,0.066039
69000,,0.070804
72000,,0.076812
75000,,0.079806
78000,,0.08549
81000,,0.086055
84000,,0.095604
87000,,0.103934
90000,,0.106329
93000,,0.113387
96000,,0.116847
99000,,0.12527
102000,,0.131778
105000,,0.140307
108000,,0.147186
111000,,0.152495
114000,,0.165885
117000,,0.175609
120000,,0.174588
123000,,0.185552
126000,,0.193556
129000,,0.207489
132000,,0.215316
135000,,0.214019
138000,,0.222652
141000,,0.236188
144000,,0.246585
147000,,0.247789
150000,,0.291972
153000,,0.282155
156000,,0.286589
159000,,0.301458
162000,,0.314497
165000,,0.324961
168000,,0.329477
171000,,0.341196
174000,,0.375468
177000,,0.373738
180000,,0.372289
183000,,0.376419
186000,,0.382082
189000,,0.401706
192000,,0.418309
195000,,0.430087
198000,,0.434886
201000,,0.45419
204000,,0.451469
207000,,0.458503
210000,,0.479516
213000,,0.484193
216000,,0.504298
219000,,0.517187
222000,,0.534112
225000,,0.537107
228000,,0.570463
231000,,0.57355
234000,,0.585073
237000,,0.598748
240000,,0.609677
243000,,0.622151
246000,,0.645637
249000,,0.657202
252000,,0.689556
255000,,0.681359
258000,,0.733906
261000,,0.736056
264000,,0.749727
267000,,0.745152
270000,,0.762454
273000,,0.777228
276000,,0.790328
279000,,0.838971
282000,,0.880742
285000,,0.838372
288000,,0.854201
291000,,0.882325
294000,,0.893074
297000,,0.913836
300000,,0.926268
303000,,0.949911
306000,,0.964148
309000,,0.980847
312000,,1.030323
315000,,1.021157
318000,,1.054668
321000,,1.067359
324000,,1.072353
327000,,1.092804
330000,,1.108699
333000,,1.13304
336000,,1.145589
339000,,1.17191
342000,,1.22133
345000,,1.265715
348000,,1.229911
351000,,1.245564
354000,,1.270608
357000,,1.285558
360000,,1.309862
363000,,1.334981
366000,,1.355138
369000,,1.37185
372000,,1.397035
375000,,1.414134
378000,,1.438509
381000,,1.463724
384000,,1.489948
387000,,1.511191
390000,,1.590771
393000,,1.57636
396000,,1.571596
399000,,1.594926
402000,,1.61705
405000,,1.640031
408000,,1.683423
411000,,1.690632
414000,,1.711715
417000,,1.733587
420000,,1.760822
423000,,1.784747
426000,,1.809617
429000,,1.922089
432000,,1.854889
435000,,1.881352
438000,,1.926697
441000,,1.928966
444000,,1.957329
447000,,1.981231
450000,,2.02546
453000,,2.035143
456000,,2.056822
459000,,2.087177
462000,,2.194267
465000,,2.132352
468000,,2.164604
471000,,2.221474
474000,,2.217312
477000,,2.240874
480000,,2.272952
483000,,2.299916
486000,,2.324666
489000,,2.419363
492000,,2.46494
495000,,2.410448
498000,,2.441547
501000,,2.466479
504000,,2.500581
507000,,2.521502
510000,,2.552659
513000,,2.580331
516000,,2.721524
519000,,2.640174
522000,,2.670834
525000,,2.705641
528000,,2.726709
531000,,2.754177
534000,,2.788589
537000,,2.822618
540000,,2.935664
543000,,2.878923
546000,,2.904429
549000,,2.947525
552000,,2.970709
555000,,3.004686
558000,,3.034702
561000,,3.144379
564000,,3.096198
567000,,3.127606
570000,,3.164084
573000,,3.192828
576000,,3.224533
579000,,3.287416
582000,,3.380763
585000,,3.327281
588000,,3.359645
591000,,3.415021
594000,,3.427355
597000,,3.457418
