Number,"Tail Recursion","Matrix Multiplication"
1,0.000005,0.000005
12000,0.004987,0.074326
24000,0.014751,0.171111
36000,0.027113,0.323851
48000,0.039131,0.477406
60000,0.061397,0.6861
72000,0.085251,0.915016
84000,0.105716,1.237379
96000,0.125256,1.58792
108000,0.154727,1.818733
120000,0.18396,2.236255
132000,0.211481,2.56349
144000,0.25458,2.909748
156000,0.28883,3.525187
168000,0.33043,3.815603
180000,0.372374,4.691826
192000,0.415712,5.263143
204000,0.47596,
216000,0.528798,
228000,0.588654,
240000,0.67158,
252000,0.707653,
264000,0.747328,
276000,0.866159,
288000,0.924115,
300000,0.987275,
312000,1.060041,
324000,1.098069,
336000,1.209012,
348000,1.281057,
360000,1.371127,
372000,1.507058,
384000,1.721276,
396000,1.680359,
408000,1.703212,
420000,1.860954,
432000,1.963319,
444000,2.034223,
456000,2.215844,
468000,2.392164,
480000,2.43013,
492000,2.601863,
504000,2.716521,
516000,2.726274,
528000,2.83184,
540000,2.98652,
552000,3.061033,
564000,3.116849,
576000,3.235125,
588000,3.590251,
