Number,"Tail Recursion","Repeated Squares"
1,0.000005,0.000033
500000,2.734493,0.014716
1000000,9.983651,0.032529
1500000,,0.057508
2000000,,0.076009
2500000,,0.112072
3000000,,0.122934
3500000,,0.129454
4000000,,0.148211
4500000,,0.226354
5000000,,0.229685
5500000,,0.250721
6000000,,0.258592
6500000,,0.259225
7000000,,0.273134
7500000,,0.304827
8000000,,0.325937
8500000,,0.446576
9000000,,0.456802
9500000,,0.46024
10000000,,0.491175
10500000,,0.47798
11000000,,0.497994
11500000,,0.514742
12000000,,0.550025
12500000,,0.567625
13000000,,0.548553
13500000,,0.614667
14000000,,0.590997
14500000,,0.633745
15000000,,0.641245
15500000,,0.650327
16000000,,0.678779
16500000,,0.68935
17000000,,0.999039
17500000,,1.038024
18000000,,1.041647
18500000,,1.059783
19000000,,1.053591
19500000,,1.114883
20000000,,1.109999
20500000,,1.100944
21000000,,1.104657
21500000,,1.123291
22000000,,1.11157
22500000,,1.138508
23000000,,1.17477
23500000,,1.285239
24000000,,1.320991
24500000,,1.304385
25000000,,1.355016
25500000,,1.235883
26000000,,1.267378
26500000,,1.301421
27000000,,1.357143
27500000,,1.359561
28000000,,1.394326
28500000,,1.548468
29000000,,1.483681
29500000,,1.430097
30000000,,1.453455
30500000,,1.486
31000000,,1.464058
31500000,,1.472272
32000000,,1.533526
32500000,,1.547359
33000000,,1.538839
33500000,,1.583902
34000000,,2.13543
34500000,,2.2146
35000000,,2.183542
35500000,,2.354556
36000000,,2.278897
36500000,,2.238897
37000000,,2.303823
37500000,,2.234962
38000000,,2.287542
38500000,,2.313884
39000000,,2.285363
39500000,,2.351519
40000000,,2.349006
40500000,,2.393413
41000000,,2.373473
41500000,,2.401522
42000000,,2.322619
42500000,,2.387534
43000000,,2.385612
43500000,,2.375632
44000000,,2.415597
44500000,,2.464838
45000000,,2.463919
45500000,,2.478163
46000000,,2.519758
