Number,"Repeated squares","Fast Doubling"
1,0.000032,0.000005
5000000,0.226946,0.031691
10000000,0.482834,0.06759
15000000,0.621797,0.105474
20000000,1.155194,0.145039
25000000,1.443407,0.206774
30000000,1.503506,0.237427
35000000,2.180315,0.255263
40000000,2.399321,0.322145
45000000,2.425553,0.316546
50000000,2.808014,0.455446
55000000,2.957582,0.474673
60000000,3.08346,0.532325
65000000,3.308531,0.565513
70000000,4.816432,0.587682
75000000,5.06997,0.692711
80000000,,0.71803
85000000,,0.7394
90000000,,0.75255
95000000,,0.811096
100000000,,1.027604
105000000,,0.952092
110000000,,1.013817
115000000,,1.102106
120000000,,1.136925
125000000,,1.236906
130000000,,1.303718
135000000,,1.297397
140000000,,1.278863
145000000,,1.515633
150000000,,1.468801
155000000,,1.481307
160000000,,1.530563
165000000,,1.570751
170000000,,1.647459
175000000,,1.616877
180000000,,1.639206
185000000,,1.685585
190000000,,1.712571
195000000,,2.165664
200000000,,2.102846
205000000,,2.096413
210000000,,2.137687
215000000,,2.161269
220000000,,2.217308
225000000,,2.267071
230000000,,2.398312
235000000,,2.247834
240000000,,2.395439
245000000,,2.777329
250000000,,2.616037
255000000,,2.661516
260000000,,2.649529
265000000,,2.642409
270000000,,2.793913
275000000,,2.800276
280000000,,2.689768
285000000,,2.917037
290000000,,3.130654
295000000,,3.136752
300000000,,3.113566
305000000,,3.195494
310000000,,3.123296
315000000,,3.471169
320000000,,3.340251
325000000,,3.351281
330000000,,3.422874
335000000,,3.384299
340000000,,3.686733
345000000,,3.676418
350000000,,3.510895
355000000,,3.643302
360000000,,3.635646
365000000,,3.74255
370000000,,3.709989
375000000,,3.878319
380000000,,3.616919
385000000,,3.837608
390000000,,4.403667
395000000,,4.299923
400000000,,4.38368
405000000,,4.502162
410000000,,4.381745
415000000,,4.635583
420000000,,4.649746
425000000,,4.597736
430000000,,4.620105
435000000,,4.736776
440000000,,4.67819
445000000,,4.696658
450000000,,4.789121
455000000,,4.724656
460000000,,5.015838
